	Unnamed: 0	Code	Name	ROE	PM	EY	ROE_Rank	PM_Rank	Total_Rank
1515	0	155650	와이엠씨	12.42	17.35475896168109	0.1373049455068825	445.0	340.0	785.0
2250	0	297570	알로이스	13.61	15.789473684210526	0.0953086996694982	377.0	409.0	786.0
308	0	25540	한국단자	12.25	17.616666666666667	0.1256742751287345	453.0	335.0	788.0
336	0	1060	JW중외제약	24.79	10.440740740740742	0.0953578839768027	88.0	701.0	789.0
804	0	83930	아바코	14.64	14.604758250191866	0.0593054479884599	325.0	465.0	790.0
570	0	60250	NHN KCP	16.35	13.038821954484606	0.0807384070861092	261.0	532.0	793.0
1060	0	210540	디와이파워	10.9	20.629660314830154	0.1809779329567995	545.0	248.0	793.0
839	0	236200	슈프리마	13.33	15.98422090729783	0.1214350640145454	395.0	399.0	794.0
54	0	3490	대한항공	13.19	16.09438202247191	0.0740646937879712	404.0	390.0	794.0
1454	0	49430	코메론	9.69	24.90343347639485	0.2120535922344576	643.0	153.0	796.0
884	0	92730	네오팜	15.12	14.042857142857144	0.1422053682526515	305.0	492.0	797.0
1429	0	42500	링네트	14.25	14.845132743362832	0.1213733205059852	346.0	451.0	797.0
1529	0	339950	아이비김영	18.62	11.751018033740548	0.1036373156086007	182.0	616.0	798.0
1025	0	64820	케이프	12.11	17.48888888888889	0.0194261330765925	462.0	337.0	799.0
214	0	137400	피엔티	24.29	10.350104821802937	0.0620861164489572	91.0	709.0	800.0
1492	0	16090	대현	9.25	28.79036672140121	0.2067896638642751	688.0	112.0	800.0
1177	0	125210	아모그린텍	20.89	11.14406779661017	0.0579372201702921	143.0	659.0	802.0
1629	0	168360	펨트론	24.34	10.261136712749616	0.0762766163014994	90.0	714.0	804.0
1178	0	65510	휴비츠	14.83	14.052083333333334	0.0855175952452217	315.0	490.0	805.0
1337	0	5870	휴니드	11.69	18.215827338129497	0.1052592098783953	490.0	316.0	806.0
1393	0	244920	에이플러스에셋	11.44	19.001248439450684	0.0819239262431245	508.0	299.0	807.0
1437	0	36640	HRS	12.15	17.07456978967495	0.1775282080449678	458.0	351.0	809.0
1795	0	58730	다스코	9.8	23.656957928802587	0.1042454636891506	632.0	177.0	809.0
467	0	5090	SGC에너지	10.79	20.53874538745388	0.0738445067203992	551.0	258.0	809.0
1230	0	21080	에이티넘인베스트	11.66	18.173913043478255	0.1881638846737481	494.0	317.0	811.0
2131	0	131090	시큐브	13.36	15.547703180212014	0.1214378238341968	391.0	422.0	813.0
2431	0	335870	윙스풋	12.02	17.226528854435834	0.1283423516830061	467.0	347.0	814.0
2168	0	99410	동방선기	14.67	14.019801980198022	0.0890261520867795	322.0	494.0	816.0
690	0	2810	삼영무역	10.38	21.44778481012658	0.049967625626745	586.0	230.0	816.0
337	0	319660	피에스케이	17.64	11.96774193548387	0.1246557564654068	210.0	606.0	816.0
510	0	2310	아세아제지	9.8	23.476005188067443	0.1755944096272401	632.0	187.0	819.0
228	0	6040	동원산업	9.97	22.8107202680067	0.0906458155809479	620.0	200.0	820.0
1667	0	212560	네오오토	11.65	18.02380952380952	0.0796019900497512	498.0	322.0	820.0
858	0	36890	진성티이씨	12.86	15.97977243994943	0.1173915525868799	421.0	401.0	822.0
355	0	30190	NICE평가정보	17.7	11.773700305810396	0.1204069528973216	207.0	615.0	822.0
268	0	56190	에스에프에이	12.48	16.23404255319149	0.1053085082526477	440.0	384.0	824.0
343	0	70	삼양홀딩스	9.11	27.33614627285513	0.0326367566169647	697.0	128.0	825.0
1046	0	65680	우주일렉트로	10.99	19.211267605633804	0.1143789317757797	535.0	293.0	828.0
500	0	230360	에코마케팅	17.74	11.626235399820306	0.1208067602152274	204.0	627.0	831.0
1339	0	16740	두올	10.42	20.655737704918035	0.1576946684362321	584.0	247.0	831.0
1916	0	227950	엔투텍	10.34	21.052631578947366	-0.039041194295613	592.0	240.0	832.0
2376	0	225590	패션플랫폼	9.06	27.200000000000003	0.1795715223951737	704.0	129.0	833.0
1443	0	448710	코츠테크놀로지	26.63	9.549330085261875	0.079246124414254	71.0	762.0	833.0
2069	0	12280	영화금속	11.57	17.691342534504393	0.0596992877017593	502.0	332.0	834.0
450	0	2960	한국쉘석유	31.27	9.157006369426751	0.0912818299525248	44.0	791.0	835.0
616	0	118990	모트렉스	16.88	12.09796672828096	0.091376459953648	240.0	595.0	835.0
384	0	272290	이녹스첨단소재	15.5	12.839080459770113	0.1086508521368837	286.0	549.0	835.0
216	0	67160	SOOP	31.0	9.202453987730062	0.0884280308462716	47.0	789.0	836.0
685	0	1130	대한제분	8.5	34.66666666666667	0.0867115018305761	764.0	73.0	837.0
1927	0	99390	브레인즈컴퍼니	14.14	14.19093851132686	0.1005017045089084	353.0	485.0	838.0
33	0	316140	우리금융지주	9.19	25.347526612398248	0.0083779745030099	692.0	146.0	838.0
1882	0	92300	현우산업	10.78	19.474605954465847	0.0950028403457105	553.0	286.0	839.0
74	0	78930	GS	8.9	28.02572347266881	0.1717042360969392	720.0	121.0	841.0
772	0	190510	나무가	17.32	11.702986279257466	0.0902361037592758	219.0	622.0	841.0
2044	0	19770	서연탑메탈	10.59	19.91780821917808	0.0736215956680626	570.0	272.0	842.0
864	0	100250	진양홀딩스	10.42	20.443037974683545	0.0095883003011822	584.0	259.0	843.0
1425	0	122310	제노레이	13.62	14.37185929648241	0.1182039864663823	376.0	473.0	849.0
1934	0	307280	원바이오젠	18.61	11.013215859030836	0.1246966928575385	183.0	666.0	849.0
1022	0	37460	삼지전자	9.62	22.651869158878505	0.1304150910813666	648.0	203.0	851.0
863	0	134380	미원화학	15.74	12.337064676616915	0.1278893228337397	273.0	578.0	851.0
2112	0	21650	한국큐빅	9.93	21.398305084745765	0.0904526695313425	621.0	231.0	852.0
196	0	42670	HD현대인프라코어	11.66	16.93233082706767	0.0904147938740853	494.0	359.0	853.0
959	0	37270	YG PLUS	14.12	13.963039014373717	0.0769019618658662	355.0	499.0	854.0
152	0	103140	풍산	12.81	15.425324675324676	0.1089109973393294	425.0	430.0	855.0
766	0	43370	피에이치에이	8.5	30.86734693877551	0.127017841971113	764.0	92.0	856.0
1737	0	306040	에스제이그룹	9.93	21.31410256410256	0.1232356496087188	621.0	235.0	856.0
79	0	241560	두산밥캣	11.38	17.267878787878786	0.1198069808248388	511.0	346.0	857.0
387	0	340570	티앤엘	31.1	8.96417445482866	0.0988080627379194	46.0	813.0	859.0
280	0	39130	하나투어	43.71	8.660569105691057	0.0477618503028983	16.0	843.0	859.0
327	0	74600	원익QnC	16.93	11.69325153374233	0.0940607434518947	238.0	623.0	861.0
943	0	8110	대동전자	11.5	16.961436170212764	0.0274556563134561	504.0	357.0	861.0
674	0	41020	폴라리스오피스	33.22	8.863636363636363	0.0224415022428471	39.0	823.0	862.0
271	0	31980	피에스케이홀딩스	21.57	9.796344647519582	0.0819281532743316	124.0	742.0	866.0
1395	0	6090	사조오양	9.51	22.4375	0.0965864110622846	659.0	208.0	867.0
515	0	33270	유나이티드제약	13.47	14.21531100478469	0.1304490649766792	384.0	484.0	868.0
1938	0	23350	한국종합기술	8.74	26.652078774617067	0.0148675947762705	735.0	133.0	868.0
627	0	53610	프로텍	12.82	14.957805907172997	0.1174053419430584	424.0	447.0	871.0
1333	0	417790	트루엔	15.59	12.115812917594656	0.1099537037037037	279.0	593.0	872.0
493	0	4690	삼천리	8.23	33.92677345537757	0.05643948668206	798.0	75.0	873.0
1255	0	3100	선광	8.56	28.00371977681339	0.1037526070827738	753.0	122.0	875.0
185	0	3090	대웅	17.31	11.150743099787686	0.0864475327781333	220.0	658.0	878.0
569	0	1940	KISCO홀딩스	8.37	30.285252960172222	0.3074229906437985	778.0	100.0	878.0
