	Unnamed: 0	Code	ROE	PM	ROE_Rank	PM_Rank	Total_Rank
2298	0	45300	-1.53	-0.0163637598356423	1713.0	1878.0	3591.0
1785	0	21050	-7.81	0.0031135145367658	1940.0	1652.0	3592.0
1186	0	230240	1.06	-0.0402166759595914	1549.0	2049.0	3598.0
2091	0	28080	-27.64	0.0187098232311756	2227.0	1374.0	3601.0
1254	0	59270	-1.93	-0.0147759522362418	1738.0	1863.0	3601.0
928	0	182400	5.31	-0.3066101723976209	1101.0	2503.0	3604.0
1480	0	115160	-24.96	0.017236591220927	2201.0	1406.0	3607.0
2036	0	56360	0.61	-0.0347807382131422	1597.0	2010.0	3607.0
1726	0	1840	-2.93	-0.009635616039972	1786.0	1821.0	3607.0
1846	0	7720	-0.04	-0.0257390319550081	1644.0	1963.0	3607.0
1080	0	12610	-4.58	-0.0054226523711089	1845.0	1764.0	3609.0
1837	0	19990	-2.07	-0.0151684813788351	1744.0	1866.0	3610.0
2309	0	1420	-0.28	-0.0242248062015503	1660.0	1951.0	3611.0
1917	0	13720	-36.69	0.0219431757326908	2296.0	1316.0	3612.0
1088	0	251370	-2.33	-0.013841419548306	1759.0	1855.0	3614.0
1754	0	10660	0.58	-0.0364741641337386	1603.0	2021.0	3624.0
1361	0	4890	-0.26	-0.0271177685950413	1657.0	1969.0	3626.0
665	0	108490	-1.51	-0.0197670302569456	1711.0	1919.0	3630.0
1010	0	60570	-1.74	-0.0188374373291915	1729.0	1902.0	3631.0
1733	0	363260	-2.28	-0.0169930434057779	1757.0	1883.0	3640.0
809	0	78160	2.38	-0.0770030581565136	1414.0	2227.0	3641.0
2022	0	80520	2.39	-0.0771499862116826	1413.0	2228.0	3641.0
2181	0	760	-1.53	-0.0222178335143675	1713.0	1930.0	3643.0
2218	0	101390	-14.38	0.007169689706584	2062.0	1585.0	3647.0
284	0	5250	-5.37	-0.0062190215934895	1873.0	1775.0	3648.0
682	0	389020	-4.67	-0.0082965257310819	1846.0	1807.0	3653.0
312	0	5420	-10.55	0.0026197452364124	2004.0	1657.0	3661.0
831	0	1080	3.54	-0.1539019284519758	1273.0	2388.0	3661.0
1006	0	191420	-4.89	-0.0079496943342528	1858.0	1803.0	3661.0
1625	0	311390	-11.46	0.0036211814490736	2017.0	1645.0	3662.0
2272	0	296640	0.11	-0.0370266375801858	1634.0	2028.0	3662.0
2014	0	85910	-5.68	-0.0070140069719229	1878.0	1789.0	3667.0
2090	0	12200	-1.02	-0.0279723449618435	1691.0	1976.0	3667.0
